F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,audio_path,name,singer,exercise_type,vocal_technique,vowel
37.59016,0.1894441,29.43427,38.62095,45.38562,15.95135,237.9428,141.1979,90.02879,96.3014,1.916873,0.4664173,1.12619,2.018678,2.776706,1.650516,2.058358,1.778152,4.206023,2.886148,0.9021841,0.893338,16.37439,0.3992457,-34.56555,-0.4283721,43.82472,0.2473931,30.71027,0.3666009,0.03875371,2.317699,1.990152,1.098203,3.942601,1.515899,5.054602,1.923295,-12.5079,-0.9479639,1089.668,0.1008392,489.0589,0.3157598,-35.37064,-1.487667,2135.641,0.04957089,1061.402,0.2028609,-10.8758,-5.572739,2937.41,0.0408221,1046.711,0.2111899,-14.84577,-3.983886,10.24807,0.4193054,2.3695,1.983956,0.07806235,0.3927911,-0.001084798,-6.258471,0.994106,0.7967574,16.55013,0.4074096,-38.63985,-0.2075077,46.13053,0.1782149,31.92025,0.3425794,-19.42257,29.01166,-0.06944039,-8.43224e-05,0.01832369,0.6849315,0.08598452,10.57,0.0,0.515,0.125,-21.58693,/lium/corpus/vrac/tmario/VocalSet/FULL/train/male2/scales/slow/forte/m2/scales/c/slow/forte/i.wav,male2_scales_slow_forte_m2_scales_c_slow_forte_i,male2,scales,slow,i
45.72573,0.09856057,41.19206,45.1534,50.7403,9.548241,12.81198,8.100702,14.93532,9.010453,0.5888116,0.6167783,0.3507099,0.5736082,0.9178913,0.5671815,3.430224,1.588426,3.489476,2.064845,0.1418891,1.041393,19.01259,0.5515098,-29.17872,-0.7178128,-1.301817,-7.646957,-17.23105,-1.137663,0.004463055,1.218613,0.2387819,0.6880386,15.22707,0.1653638,4.183113,1.901639,12.89185,0.3961673,669.2815,0.5077751,1208.268,0.2384187,-77.1573,-1.182991,1650.991,0.233384,960.4942,0.3422049,-45.92433,-1.602301,2697.992,0.1302468,797.6384,0.4080813,-51.04187,-1.391384,-4.550761,-0.9201791,14.31643,0.2274486,0.09270846,0.4606861,-0.007255545,-1.903345,0.173423,0.8471765,19.25412,0.535177,-38.34827,-0.2165848,-3.770302,-2.286531,-24.77868,-0.3619371,-19.83172,32.0306,-0.05565301,0.0008236117,0.005643521,2.369668,0.07942811,10.27,0.0,1.145,0.525,-34.68208,/lium/corpus/vrac/tmario/VocalSet/FULL/train/female4/scales/slow/forte/f4/scales/c/slow/forte/e.wav,female4_scales_slow_forte_f4_scales_c_slow_forte_e,female4,scales,slow,e
37.3708,0.155885,31.84169,36.16656,43.97908,12.13739,59.32821,54.63488,51.80731,50.94967,1.948916,0.5445502,1.028315,2.193698,2.961289,1.932974,4.956733,2.969725,6.950804,4.419024,0.9680163,0.8561643,17.29406,0.6354395,-12.03022,-1.202908,0.5342351,24.58839,-56.56164,-0.355741,0.0122638,1.963682,0.4436836,0.7930595,9.245696,0.4869967,-1.684355,-5.255713,5.311259,1.589867,899.5704,0.1345395,861.8588,0.1702269,-3.415028,-15.55105,2215.009,0.08046947,152.6656,1.034783,-23.69699,-1.965939,3131.297,0.03659056,716.3029,0.1966748,-10.76293,-4.680283,-4.187539,-1.813333,8.310006,0.7716981,0.0999028,0.3324389,-0.03024683,-0.707958,1.052043,0.7726186,16.51222,0.6730846,-14.45165,-0.8484687,-0.1677485,-79.9477,-61.75303,-0.1607874,-20.90235,32.24457,-0.05138041,-0.01613786,0.01835088,1.269036,0.257732,3.59,0.0,0.11,0.02,-20.11162,/lium/corpus/vrac/tmario/VocalSet/FULL/train/male11/scales/fast/forte/m11/scales/f/fast/forte/o.wav,male11_scales_fast_forte_m11_scales_f_fast_forte_o,male11,scales,fast,o
31.9681,0.1539221,26.81765,31.04412,34.9665,8.148849,112.4792,112.8003,93.57005,125.2552,0.6541784,0.599603,0.4313678,0.6082256,0.878615,0.4472472,0.7104679,0.4545152,2.190893,2.545465,0.1197235,1.193382,13.58259,0.4415068,-2.050415,-5.699193,48.32638,0.2905362,30.88498,0.2794573,0.0102408,3.628785,0.3960319,1.298185,9.239711,0.39747,18.25842,0.347036,3.617012,3.528307,799.6282,0.4940897,684.8788,0.5780454,-36.90899,-1.560855,1903.424,0.1877447,668.0187,0.4512646,-31.84511,-1.738407,2786.787,0.09275624,790.403,0.1800652,-23.99816,-2.381333,-2.894661,-2.25818,6.225893,1.181545,0.03344249,0.9449354,-0.005282046,-1.449849,0.1303415,1.125226,13.74961,0.443806,-3.469306,-3.254003,51.48071,0.2090785,31.92751,0.2548686,-20.59378,31.41434,-0.07605125,0.00357478,0.02463921,0.3562945,0.1196172,7.57,0.0,0.38,0.12,-33.63912,/lium/corpus/vrac/tmario/VocalSet/FULL/train/male11/arpeggios/straight/m11/arpeggios/straight/i.wav,male11_arpeggios_straight_m11_arpeggios_straight_i,male11,arpeggios,straight,i
37.96305,0.1873069,27.28499,39.5049,44.42635,17.14136,4.082747,0.0,-0.4601315,0.0,0.3934536,0.7509373,0.05661391,0.3688027,0.7750826,0.7184687,0.4062155,0.2423287,0.3337757,0.1123736,0.04922308,1.39511,32.36113,0.3307694,13.61196,0.6721593,7.046176,1.98915,-1.11704,-12.64511,0.002103784,2.684788,0.1771411,2.023473,14.96035,0.2537569,-1.288639,-3.035735,22.09358,0.6208889,756.5449,0.274126,1265.071,0.1832335,-71.64351,-1.129293,1926.103,0.1859763,991.8568,0.3835557,-77.17395,-0.9192349,2968.532,0.08929239,715.0528,0.3477963,-81.35329,-0.8406886,-28.1322,-0.190314,39.4716,0.1371274,0.07646513,0.6277786,-0.01775435,-0.8137941,0.05999083,1.269765,37.29045,0.1883662,13.76368,0.6598423,6.135622,2.533414,-7.879998,-1.092016,-22.1458,34.456,-0.0642684,-0.002506274,0.01758733,0.4158004,0.3138075,2.386667,0.340816,0.5825,0.3104331,-26.40094,/lium/corpus/vrac/tmario/VocalSet/FULL/train/male6/long/tones/pp/m6/long/pp/u.wav,male6_long_tones_pp_m6_long_pp_u,male6,long_tones,tones,u
34.8762,0.2265842,27.36666,34.83318,44.20135,16.8347,201.614,137.2925,47.63372,32.77078,0.9267973,0.5326569,0.527064,0.8408231,1.434237,0.9071728,1.520804,0.886211,1.591321,1.8346,0.1364928,0.8601026,5.447196,1.365083,7.9086,1.427331,29.21228,0.4496376,-3.060257,-3.948996,0.0183056,1.980471,0.7658548,1.41792,8.015944,0.5552405,8.637137,0.810953,3.243639,3.36553,458.0603,0.856752,843.299,0.3627786,-21.37306,-2.725987,1644.821,0.1915769,267.9822,0.8097975,-27.77191,-1.512272,2645.308,0.1472543,607.1618,0.4189346,-12.26548,-3.665355,-3.023036,-2.098499,5.451509,1.270557,0.07143978,0.3831754,-0.0296831,-0.2294714,0.1439712,0.8127214,4.637498,1.478449,7.824818,1.478183,30.02719,0.4342051,-4.717479,-2.193925,-21.55643,29.6308,-0.08016074,-0.002211885,0.01748793,0.6548176,0.09416196,10.05,0.0,0.27,0.04,-31.40324,/lium/corpus/vrac/tmario/VocalSet/FULL/train/male9/scales/vocal/fry/m9/scales/vocal/fry/i.wav,male9_scales_vocal_fry_m9_scales_vocal_fry_i,male9,scales,vocal,i
49.359,0.1416506,39.43288,51.29636,56.3236,16.89072,14.64466,8.086629,18.3253,7.715922,0.6489925,0.9046717,0.181867,0.421371,1.058755,0.8768882,3.816867,3.267252,2.353719,1.508754,0.2664869,1.707898,20.45328,0.5904815,-20.00655,-0.6959708,-20.20078,-0.7673194,-42.54011,-0.3641648,0.004511846,1.605408,0.2913044,1.012295,17.38744,0.2271979,10.84947,1.304726,17.91918,0.4927751,733.4548,0.3714892,1251.484,0.2646142,-21.77997,-2.583211,1648.896,0.2136075,1042.734,0.3174376,-24.63568,-1.575259,2865.256,0.06935921,557.5692,0.6828016,-32.80696,-1.127439,-7.007221,-1.562728,24.8127,0.3775433,0.0275149,0.9243289,-0.01889837,-0.482434,0.2796877,1.655194,20.68378,0.595538,-21.31828,-0.6000813,-21.81119,-0.6421479,-45.48419,-0.1779099,-17.0757,26.29033,-0.06088258,0.002255743,0.01267713,0.6423983,0.1078749,8.87,0.0,0.185,0.115,-23.86023,/lium/corpus/vrac/tmario/VocalSet/FULL/train/female9/long/tones/messa/f9/long/messa/a.wav,female9_long_tones_messa_f9_long_messa_a,female9,long_tones,tones,a
50.97775,0.1305309,39.70334,51.88334,56.18478,16.48145,4.366213,2.410841,11.22574,10.88413,0.3047715,0.652091,0.07876386,0.3230768,0.515879,0.4371151,0.8211695,0.3788468,0.8089926,0.5048472,0.04310612,0.9473034,26.79269,0.4327534,-5.931775,-3.513175,-29.9964,-0.756124,-18.27995,-1.241356,0.001523681,2.154013,0.08258365,2.467301,20.83256,0.1488888,32.20956,0.2706683,39.15184,0.09172713,860.8119,0.3380651,1542.67,0.3396046,-78.41658,-1.140738,1709.21,0.2342102,1246.2,0.3404352,-58.01336,-1.201265,2986.754,0.1221881,972.269,0.3321145,-78.20849,-0.7518103,-12.63712,-0.5193525,45.07286,0.08206786,0.04890316,0.494965,-0.01398603,-1.512684,0.05229836,0.7570428,30.39908,0.3108551,-11.56809,-1.584896,-37.35644,-0.4779467,-26.90985,-0.543642,-18.93395,33.37214,-0.04203174,0.0003693852,0.003817551,1.497193,0.1877347,4.32,1.554113,0.7375,0.07628073,-35.4235,/lium/corpus/vrac/tmario/VocalSet/FULL/train/female5/long/tones/pp/f5/long/pp/u.wav,female5_long_tones_pp_f5_long_pp_u,female5,long_tones,tones,u
35.72523,0.1753597,29.2155,36.05492,39.35203,10.13653,69.36465,49.90552,54.25372,42.14231,1.601469,0.4527957,1.142508,1.544537,2.352132,1.209624,1.242122,0.8564776,1.88295,1.054638,0.3032511,0.9819677,24.96357,0.2482101,-35.84687,-0.434643,9.797792,1.048251,17.73475,0.6311312,0.01692918,2.571462,0.8110937,1.503296,8.92617,0.5570903,0.9267519,11.02892,3.737897,1.891025,1074.54,0.09219421,868.899,0.1680794,-20.99155,-2.318327,2049.509,0.05177062,1056.012,0.1542155,-9.46467,-5.427435,2932.858,0.03913802,1039.923,0.3105052,-12.79511,-3.943411,2.638807,1.23664,5.485837,0.6286501,0.09357042,0.2762735,-0.0135649,-0.5133432,0.3270965,0.9084535,25.67725,0.2231566,-39.90553,-0.1566382,9.443946,1.110456,17.03857,0.6594078,-23.54944,34.45729,-0.07154621,0.00324306,0.009980412,0.2781641,0.1402525,6.64,0.0,0.23,0.02,-25.33782,/lium/corpus/vrac/tmario/VocalSet/FULL/train/male8/scales/belt/m8/scales/belt/e.wav,male8_scales_belt_m8_scales_belt_e,male8,scales,belt,e
43.4644,0.09500792,38.94488,42.73982,46.23576,7.290882,6.060905,0.2103424,2.72889,0.0,0.5846326,0.6012899,0.2671186,0.6417082,0.8119638,0.5448452,1.379831,1.253665,1.545199,0.8130347,0.07116056,1.367695,20.97132,0.4222276,-11.07437,-1.587141,16.53843,0.9787665,-0.1290892,-107.4874,0.003176752,6.997771,0.1703298,1.322484,16.93448,0.1233515,11.41278,0.7711529,3.73535,2.134659,574.6143,0.5530664,1263.344,0.247258,-48.09621,-1.425328,1654.379,0.1293003,763.5433,0.3629382,-35.70406,-1.335323,2627.13,0.1567161,894.4412,0.377484,-31.75097,-1.51885,-10.71268,-0.7764519,13.87276,0.6487714,0.04787683,1.165985,-0.02820188,-0.3192384,0.07569153,1.324035,21.16306,0.4292511,-13.61635,-1.160664,16.94079,0.9906902,-2.087303,-6.068568,-28.01366,38.93288,-0.09092558,-0.0003318107,0.01997645,0.6857143,0.1152074,8.03,0.0,0.31,0.06,-32.19339,/lium/corpus/vrac/tmario/VocalSet/FULL/train/male9/arpeggios/straight/m9/arpeggios/straight/i.wav,male9_arpeggios_straight_m9_arpeggios_straight_i,male9,arpeggios,straight,i
